fecha,codigo_gps,coordenada_completa,longitug,latitud,fn_valor_pastoral
12/2016,CM T02,-67.3356713/-43.8373015,-67.3356713,-43.8373015,"8,00"
12/2015,CM T03,-67.3378192/-43.880877,-67.3378192,-43.880877,"0,60"
12/2016,CM T03,-67.3378192/-43.880877,-67.3378192,-43.880877,"6,60"
12/2015,CM T04,-67.3127258/-43.9200124,-67.3127258,-43.9200124,"0,60"
12/2016,CM T04,-67.3127258/-43.9200124,-67.3127258,-43.9200124,"7,20"
12/2015,CM T05,-67.2852686/-43.9598295,-67.2852686,-43.9598295,"1,40"
12/2016,CM T05,-67.2852686/-43.9598295,-67.2852686,-43.9598295,"3,00"
12/2015,CM T06,-67.2574237/-44.0089754,-67.2574237,-44.0089754,"1,40"
12/2016,CM T06,-67.2574237/-44.0089754,-67.2574237,-44.0089754,"1,40"
12/2015,CM T07,-67.2476295/-44.0564362,-67.2476295,-44.0564362,"3,00"
12/2016,CM T07,-67.2476295/-44.0564362,-67.2476295,-44.0564362,"6,80"
12/2015,CM T08,-67.2376482/-44.0994238,-67.2376482,-44.0994238,"5,40"
12/2016,CM T08,-67.2376482/-44.0994238,-67.2376482,-44.0994238,"4,60"
12/2015,CM T09,-67.1987158/-44.1398478,-67.1987158,-44.1398478,"4,00"
12/2016,CM T09,-67.1987158/-44.1398478,-67.1987158,-44.1398478,"6,60"
12/2015,CM T10,-67.1714612/-44.1781269,-67.1714612,-44.1781269,"1,00"
12/2016,CM T10,-67.1714612/-44.1781269,-67.1714612,-44.1781269,"11,20"
12/2015,CM T11,-67.1702255/-44.2163013,-67.1702255,-44.2163013,"1,40"
12/2016,CM T11,-67.1702255/-44.2163013,-67.1702255,-44.2163013,"13,80"
12/2015,CM T12,-67.1591955/-44.2553725,-67.1591955,-44.2553725,"1,40"
12/2016,CM T12,-67.1591955/-44.2553725,-67.1591955,-44.2553725,"3,60"
12/2015,CM T13,-67.1345786/-44.286381,-67.1345786,-44.286381,"2,80"
12/2016,CM T13,-67.1345786/-44.286381,-67.1345786,-44.286381,"10,60"
12/2015,CM T14,-67.1155383/-44.3312975,-67.1155383,-44.3312975,"1,40"
12/2016,CM T14,-67.1155383/-44.3312975,-67.1155383,-44.3312975,"4,40"
12/2015,CM T15,-67.0828267/-44.3617559,-67.0828267,-44.3617559,"1,80"
12/2016,CM T15,-67.0828267/-44.3617559,-67.0828267,-44.3617559,"3,20"
12/2015,CM T16,-67.0420976/-44.3889847,-67.0420976,-44.3889847,"5,60"
12/2016,CM T16,-67.0420976/-44.3889847,-67.0420976,-44.3889847,"13,60"
12/2015,CM T17,-66.9929163/-44.4038673,-66.9929163,-44.4038673,"6,60"
12/2016,CM T17,-66.9929163/-44.4038673,-66.9929163,-44.4038673,"7,40"
12/2015,CM T18,-66.972927/-44.435254,-66.972927,-44.435254,"2,40"
12/2016,CM T18,-66.972927/-44.435254,-66.972927,-44.435254,"10,00"
12/2015,CM T19,-66.9590799/-44.4651814,-66.9590799,-44.4651814,"2,80"
12/2016,CM T19,-66.9590799/-44.4651814,-66.9590799,-44.4651814,"8,20"
12/2015,CM T20,-66.9083977/-44.4888446,-66.9083977,-44.4888446,"0,60"
12/2016,CM T20,-66.9083977/-44.4888446,-66.9083977,-44.4888446,"1,80"
12/2015,CM T21,-66.9762141/-44.5694708,-66.9762141,-44.5694708,"3,40"
12/2016,CM T21,-66.9762141/-44.5694708,-66.9762141,-44.5694708,"7,20"
12/2015,CM T22,-67.0299236/-44.5550602,-67.0299236,-44.5550602,"2,00"
12/2016,CM T22,-67.0299236/-44.5550602,-67.0299236,-44.5550602,"10,00"
12/2015,CM T23,-67.0551336/-44.5475398,-67.0551336,-44.5475398,"3,80"
12/2016,CM T23,-67.0551336/-44.5475398,-67.0551336,-44.5475398,"11,20"
12/2015,CM T24,-67.1001492/-44.547055,-67.1001492,-44.547055,"3,00"
12/2016,CM T24,-67.1001492/-44.547055,-67.1001492,-44.547055,"7,40"
12/2015,CM T25,-67.1596175/-44.5408215,-67.1596175,-44.5408215,"2,60"
12/2016,CM T25,-67.1596175/-44.5408215,-67.1596175,-44.5408215,"7,60"
01/2016,CM2 T01,-67.7499901/-43.3002768,-67.7499901,-43.3002768,"6,80"
01/2017,CM2 T01,-67.7499901/-43.3002768,-67.7499901,-43.3002768,"12,80"
01/2016,CM2 T02,-67.7203597/-43.3494344,-67.7203597,-43.3494344,"6,20"
01/2017,CM2 T02,-67.7203597/-43.3494344,-67.7203597,-43.3494344,"10,00"
01/2016,CM2 T03,-67.7260393/-43.3830634,-67.7260393,-43.3830634,"5,20"
01/2017,CM2 T03,-67.7260393/-43.3830634,-67.7260393,-43.3830634,"11,40"
01/2016,CM2 T04,-67.694329/-43.4238774,-67.694329,-43.4238774,"11,40"
01/2017,CM2 T04,-67.694329/-43.4238774,-67.694329,-43.4238774,"13,00"
01/2016,CM2 T05,-67.7194455/-43.4682516,-67.7194455,-43.4682516,"3,20"
01/2017,CM2 T05,-67.7194455/-43.4682516,-67.7194455,-43.4682516,"6,20"
01/2016,CM2 T06,-67.6520044/-43.4824269,-67.6520044,-43.4824269,"1,00"
01/2017,CM2 T06,-67.6520044/-43.4824269,-67.6520044,-43.4824269,"4,00"
01/2016,CM2 T07,-67.5776214/-43.5063148,-67.5776214,-43.5063148,"3,00"
01/2017,CM2 T07,-67.5776214/-43.5063148,-67.5776214,-43.5063148,"5,80"
01/2016,CM2 T08,-67.5139198/-43.5240368,-67.5139198,-43.5240368,"3,20"
01/2017,CM2 T08,-67.5139198/-43.5240368,-67.5139198,-43.5240368,"8,40"
01/2016,CM2 T09,-67.4723146/-43.531376,-67.4723146,-43.531376,"5,80"
01/2017,CM2 T09,-67.4723146/-43.531376,-67.4723146,-43.531376,"7,20"
01/2016,CM2 T10,-66.7234099/-43.5533132,-66.7234099,-43.5533132,"3,00"
01/2017,CM2 T10,-66.7234099/-43.5533132,-66.7234099,-43.5533132,"8,80"
01/2016,CM2 T11,-66.7863427/-43.4983133,-66.7863427,-43.4983133,"1,00"
01/2017,CM2 T11,-66.7863427/-43.4983133,-66.7863427,-43.4983133,"4,40"
01/2016,CM2 T12,-66.8577014/-43.4605031,-66.8577014,-43.4605031,"6,20"
01/2017,CM2 T12,-66.8577014/-43.4605031,-66.8577014,-43.4605031,"5,80"
01/2016,CM2 T13,-66.8893089/-43.3953555,-66.8893089,-43.3953555,"3,00"
01/2017,CM2 T13,-66.8893089/-43.3953555,-66.8893089,-43.3953555,"7,60"
01/2016,CM2 T14,-66.9705079/-43.3440942,-66.9705079,-43.3440942,"7,60"
01/2017,CM2 T14,-66.9705079/-43.3440942,-66.9705079,-43.3440942,"12,00"
01/2016,CM2 T15,-67.2104425/-43.076166,-67.2104425,-43.076166,"6,40"
